Semester,Module Code,Module Name,Credit Hours,Class Type
Semester I,ITU 07101,Business Communication,8,Fundamental
Semester I,ITU 07102,Business Computer Applications,8,Core
Semester I,ITU 07103,Computer Fundamentals,10,Core
Semester I,ITU 07104,Computer Systems Architecture,12,Core
Semester I,ITU 07105,Database Systems,12,Fundamental
Semester I,ITU 07107,Foundation of Mathematical Analysis,8,Core
Semester II,ITU 07208,Computer Networking,12,Fundamental
Semester II,ITU 07209,Development Studies,8,Core
Semester II,ITU 07210,Discrete Mathematics,8,Core
Semester II,ITU 07211,Computer Graphics Design,8,Core
Semester II,ITU 07212,Principles of Programming,12,Fundamental
Semester II,ITU 07213,Probability and Statistics,8,Core
Semester III,ITU 07317,Distributed Database,8,Fundamental
Semester III,ITU 07318,Distributed Computing Systems,8,Core
Semester III,ITU 07320,Operating Systems,12,Core
Semester III,ITU 07321,Research Methodology,9,Core
Semester III,ITU 07322,Object Oriented Programming,12,Fundamental
Semester III,ITU 07323,Web Design,8,Core
Semester IV,ITU 07424,Artificial Intelligence,8,Fundamental
Semester IV,ITU 07425,Entrepreneurship,12,Core
Semester IV,ITU 07426,Information Security,8,Core
Semester IV,ITU 07427,Internet Programming and Applications,10,Core
Semester IV,ITU 07428,System Analysis and Design,8,Fundamental
Semester IV,ITU 07430,Wireless Communication,8,Core
Semester IV,ITU 07431,Industrial Practical Training,20,Core
Semester V,ITU 08101,IT Project Management,12,Fundamental
Semester V,ITU 08102,Open Source Software Development,8,Core
Semester V,ITU 08103,Social and Ethical Issues in Computing,8,Core
Semester V,ITU 08104,Data Mining,10,Core
Semester V,ITU 08105,Network Management and Administration,10,Fundamental
Semester V,ITU 08107,Interactive Multimedia,8,Core
Semester VI,ITU 08209,Data Structure and Algorithms,12,Fundamental
Semester VI,ITU 08211,Cryptology and Coding Theory,10,Core
Semester VI,ITU 08213,Computer Security,10,Core
Semester VI,ITU 08215,Mobile Computing,12,Core
Semester VI,ITU 08217,Individual Project,20,Fundamental
,,,,
TOTAL CREDIT HOURS,,,365,
