Semester,Module Code,Module Name,Credit Hours,Class Type
Semester I,ITU 07101,Business Communication,8,Fundamental
Semester I,ITU 07102,Business Computer Applications,8,Core
Semester I,ITU 07103,Computer Fundamentals,10,Core
Semester I,ITU 07105,Database Systems Development,12,Core
Semester I,ITU 07106,Digital Logic and Computer Organization,10,Fundamental
Semester I,ITU 07107,Foundation of Analysis,8,Fundamental
Semester II,ITU 07208,Computer Networking,12,Fundamental
Semester II,ITU 07209,Development Perspectives,8,Core
Semester II,ITU 07211,Computer Graphic Design,8,Core
Semester II,ITU 07212,Principles of Programming,12,Core
Semester II,ITU 07213,Probability and Statistics,8,Fundamental
Semester II,ITU 07214,Database Implementation and Management,10,Core
Semester III,ITU 07315,Business Law,8,Fundamental
Semester III,ITU 07316,Data Routing and Switching,8,Core
Semester III,ITU 07319,Management Information Systems,8,Core
Semester III,ITU 07321,Research Methodology,9,Core
Semester III,ITU 07322,Object Oriented Programming,12,Fundamental
Semester III,ITU 07323,Web Design,8,Core
Semester IV,ITU 07425,Entrepreneurship,12,Fundamental
Semester IV,ITU 07426,Information Security,8,Core
Semester IV,ITU 07427,Internet Programming and Applications,10,Core
Semester IV,ITU 07428,System Analysis and Design,10,Core
Semester IV,ITU 07429,Supporting Personal Computers,8,Fundamental
Semester IV,ITU 07430,Wireless Communication,8,Core
Semester IV,ITU 07431,Industrial Practical Training,20,Core
Semester V,ITU 08101,IT Project Management,12,Fundamental
Semester V,ITU 08102,Open Source Software Development,8,Core
Semester V,ITU 08103,Social and Ethical Issues in Computing,8,Core
Semester V,ITU 08104,Data Mining,10,Core
Semester V,ITU 08105,Network Management and Administration,10,Fundamental
Semester V,ITU 08106,Information System Auditing,10,Core
Semester VI,ITU 08208,Cybercrimes and Computer Law,8,Fundamental
Semester VI,ITU 08210,E-commerce and Technology,8,Core
Semester VI,ITU 08212,Business Information System Re-engineering,8,Core
Semester VI,ITU 08214,Information System Management,8,Core
Semester VI,ITU 08216,Programming for Mobile Device,10,Fundamental
Semester VI,ITU 08217,Individual Project,20,Core
,,,,
TOTAL CREDIT HOURS,,,363,
